City_ID,City,Distance_km
1,Lucknow,0
2,Ahmedabad,1101
3,Jaipur,0
4,Hyderabad,0
5,Pune,9999
6,Gurugram,-50
7,Ahmedabad,-50
8,Kolkata,9999
9,Bhuwneshwar,9999
10,Udaypur,9999
11,Bhuwneshwar,0
12,Ahmedabad,9999
13,Kolkata,-50
14,Jaipur,78
15,Ahmedabad,0
16,Pune,698
17,Indore,9999
18,Udaypur,2000
19,Bangalore,0
20,Hyderabad,9999
21,Pune,9999
22,Jaipur,1711
23,Mumbai,779
24,Nagpur,-50
25,Mumbai,9999
26,Raipur,0
27,Pune,0
28,Gurugram,9999
29,Jaipur,-50
30,Nagpur,-50
31,Lucknow,-50
32,Bhuwneshwar,-50
33,Mumbai,9999
34,Ahmedabad,0
35,Lucknow,9999
36,Noida,0
37,Noida,0
38,Nagpur,545
39,Gurugram,-50
40,kolkata,-50
41,Ahmedabad,9999
42,Bangalore,0
43,Chennai,0
44,Bhuwneshwar,1313
45,Raipur,0
46,Bangalore,0
47,Noida,-50
48,Surat,0
49,Lucknow,-50
50,Mumbai,1415
51,Surat,9999
52,Mumbai,0
53,Chennai,0
54,Raipur,1529
55,Chennai,-50
56,Bhuwneshwar,0
57,Chennai,-50
58,Bangalore,9999
59,Surat,334
60,Udaypur,9999
61,Indore,1145
62,Ahmedabad,-50
63,Surat,0
64,Lucknow,9999
65,Ahmedabad,-50
66,Ahmedabad,9999
67,Raipur,0
68,Ahmedabad,0
69,Mumbai,155
70,Nagpur,9999
71,Indore,9999
72,Raipur,9999
73,Nagpur,9999
74,Bangalore,0
75,Bangalore,888
76,Pune,1066
77,Bhuwneshwar,50
78,Noida,-50
79,Raipur,9999
80,Pune,-50
81,Mumbai,0
82,Delhi,-50
83,Delhi,0
84,Nagpur,9999
85,Raipur,1094
86,Udaypur,-50
87,Udaypur,0
88,Mumbai,728
89,Bhuwneshwar,9999
90,Chennai,-50
91,Indore,659
92,Nagpur,180
93,Bhuwneshwar,9999
94,Delhi,0
95,Lucknow,678
96,Udaypur,9999
97,Lucknow,0
98,Udaypur,9999
99,Lucknow,9999
