Order_ID,Customer_ID,Product_ID,Order_Time,Dispatch_Time,Delivery_Time,Status,Delay_Minutes,City_ID,Partner_ID
1,1276,1050,24-07-2021,24-07-2021 05:00,26-07-2021 04:00,DELIVERED,-50,,26
24617,1979,1408,11-06-2022,11-06-2022 07:00,14-06-2022 01:00,Delivered,-50,63,44
6673,2942,173,28-04-2022,29-04-2022 02:00,30-04-2022 01:00,In Transit,127,9,17
12365,4400,1149,22-04-2020,23-04-2020 10:00,25-04-2020 08:00,,-50,,14
5,5010,847,28-08-2022,29-08-2022 18:00,31-08-2022 13:00,Delivered,,,24
27298,2917,1496,06-12-2020,06-12-2020 02:00,08-12-2020 11:00,delivered,9999,80,4
13728,3059,1580,14-11-2022,14-11-2022 04:00,15-11-2022 20:00,DELIVERED,15,,20
8,4125,1095,06-10-2022,07-10-2022 05:00,08-10-2022 20:00,,-50,,59
7401,5237,2805,01-10-2024,02-10-2024 11:00,05-10-2024 19:00,DELIVERED,9999,78,51
10,5205,1474,07-01-2021,08-01-2021 08:00,08-01-2021 09:00,Delayed,-50,,28
25698,2060,2312,10-10-2022,10-10-2022 06:00,14-10-2022 05:00,Delayed,,93,46
21045,1750,242,15-01-2021,15-01-2021 11:00,16-01-2021 01:00,Delivered,139,76,19
10170,3116,2458,24-08-2022,25-08-2022 08:00,28-08-2022 01:00,Delayed,-50,,24
34019,2039,1979,26-01-2023,27-01-2023 02:00,29-01-2023 11:00,Delivered,-50,,23
15,1587,1201,10-01-2021,10-01-2021 13:00,13-01-2021 00:00,In Transit,-50,,42
35791,2401,2768,01-10-2025,02-10-2025 17:00,05-10-2025 02:00,Delivered,9999,,55
17,2764,1985,08-11-2021,09-11-2021 03:00,11-11-2021 08:00,Delayed,-50,74,14
1714,5060,764,08-01-2025,09-01-2025 23:00,13-01-2025 20:00,Delayed,,53,18
870,5064,1729,04-03-2025,05-03-2025 09:00,06-03-2025 05:00,Delayed,,,27
1626,2103,1943,08-05-2023,09-05-2023 12:00,10-05-2023 11:00,In Transit,9999,2,34
21,4353,2106,17-01-2023,17-01-2023 07:00,19-01-2023 05:00,delivered,9999,12,7
22,5947,996,29-04-2021,29-04-2021 10:00,30-04-2021 01:00,,-50,55,31
23,5512,690,09-05-2022,10-05-2022 05:00,12-05-2022 15:00,DELIVERED,-50,17,17
24,4717,349,07-01-2021,08-01-2021 08:00,11-01-2021 04:00,,,19,15
13781,3297,2740,16-06-2025,16-06-2025 17:00,17-06-2025 03:00,Delivered,9999,,27
11827,3134,1937,24-10-2021,24-10-2021 19:00,25-10-2021 18:00,In Transit,49,,39
1653,3547,435,03-10-2025,04-10-2025 03:00,07-10-2025 22:00,DELIVERED,9999,,21
28,5976,326,15-07-2022,15-07-2022 10:00,16-07-2022 13:00,DELIVERED,50,38,10
19564,3568,213,18-06-2023,18-06-2023 20:00,20-06-2023 07:00,In Transit,,5,13
35521,5492,771,25-02-2023,26-02-2023 23:00,02-03-2023 17:00,Delayed,154,94,23
41998,2881,848,09-12-2025,09-12-2025 08:00,09-12-2025 20:00,Delayed,-50,,49
32,1519,1140,08-11-2023,09-11-2023 22:00,10-11-2023 22:00,Delivered,189,,26
33,4458,1471,20-03-2023,21-03-2023 09:00,22-03-2023 19:00,In Transit,75,41,26
46068,5414,1415,22-10-2025,23-10-2025 09:00,23-10-2025 13:00,,,9,39
19214,3423,2398,31-05-2024,01-06-2024 06:00,04-06-2024 19:00,delivered,-50,,51
36,5056,762,27-12-2023,27-12-2023 02:00,29-12-2023 02:00,Delivered,9999,84,49
37,3932,1508,02-04-2022,04-04-2022 00:00,06-04-2022 11:00,Delivered,-50,14,43
38,2841,2428,25-05-2020,25-05-2020 06:00,27-05-2020 21:00,Delivered,269,29,6
39,3155,1767,26-05-2024,27-05-2024 07:00,27-05-2024 19:00,In Transit,9999,,35
40,2091,1118,01-01-2020,02-01-2020 09:00,03-01-2020 02:00,delivered,201,32,34
41,3968,570,29-08-2023,30-08-2023 22:00,03-09-2023 05:00,Delivered,9999,,48
42,4529,346,08-08-2023,09-08-2023 06:00,11-08-2023 23:00,DELIVERED,,,33
43,4597,671,27-12-2022,27-12-2022 19:00,29-12-2022 22:00,DELIVERED,130,45,34
44,4075,454,02-07-2020,03-07-2020 19:00,03-07-2020 20:00,In Transit,,4,39
3688,4380,1259,31-03-2021,31-03-2021 05:00,01-04-2021 11:00,Delayed,1,97,13
46,4177,207,30-07-2021,31-07-2021 04:00,02-08-2021 20:00,delivered,,,52
47,4592,481,04-01-2025,04-01-2025 16:00,07-01-2025 23:00,In Transit,-50,,26
48,5126,1144,20-07-2021,20-07-2021 13:00,22-07-2021 10:00,Delayed,,53,57
49,2420,1177,03-03-2021,03-03-2021 20:00,04-03-2021 07:00,Delivered,-50,,58
50,3699,615,17-01-2022,17-01-2022 14:00,19-01-2022 06:00,DELIVERED,9999,42,7
51,2582,2256,08-05-2021,08-05-2021 06:00,11-05-2021 09:00,delivered,-50,19,37
52,3462,1841,12-06-2022,12-06-2022 02:00,14-06-2022 11:00,Delayed,,46,59
37528,3106,1051,29-06-2020,29-06-2020 10:00,03-07-2020 00:00,Delivered,9999,90,30
54,2647,2461,06-04-2020,07-04-2020 03:00,07-04-2020 04:00,In Transit,9999,,12
55,4622,837,13-11-2023,13-11-2023 10:00,13-11-2023 22:00,DELIVERED,-50,19,50
56,4594,684,01-02-2021,01-02-2021 09:00,03-02-2021 13:00,DELIVERED,-50,,16
33769,2096,2553,11-10-2020,11-10-2020 17:00,14-10-2020 01:00,,-50,,11
3665,2011,2257,17-09-2023,18-09-2023 04:00,20-09-2023 08:00,Delivered,247,,18
59,1883,1734,13-11-2024,14-11-2024 09:00,16-11-2024 19:00,,9999,,56
32263,4945,2391,06-11-2024,07-11-2024 10:00,08-11-2024 13:00,,-50,,54
61,3562,1693,21-12-2022,21-12-2022 20:00,23-12-2022 22:00,Delayed,-50,,31
35033,5180,1316,09-12-2021,09-12-2021 03:00,11-12-2021 04:00,,-50,32,2
35910,5434,2545,19-12-2022,19-12-2022 05:00,22-12-2022 22:00,delivered,9999,68,42
64,2635,1140,04-01-2024,05-01-2024 06:00,05-01-2024 07:00,delivered,9999,,32
65,5599,1345,13-12-2020,13-12-2020 06:00,14-12-2020 03:00,In Transit,9999,73,9
36712,4545,2395,22-02-2021,23-02-2021 17:00,27-02-2021 15:00,delivered,,,52
67,3930,2810,21-10-2020,21-10-2020 18:00,24-10-2020 03:00,delivered,32,,33
9234,3815,461,23-03-2024,24-03-2024 06:00,28-03-2024 03:00,,-50,,8
39166,1011,1320,01-06-2022,01-06-2022 12:00,01-06-2022 14:00,Delivered,54,,20
6613,2782,1892,09-09-2022,09-09-2022 09:00,10-09-2022 19:00,,,,33
71,4876,1047,10-05-2025,10-05-2025 19:00,11-05-2025 06:00,DELIVERED,,,37
10564,4081,2260,11-05-2025,11-05-2025 16:00,12-05-2025 18:00,DELIVERED,-50,,50
