Payment_ID,Order_ID,Payment_Method,Payment_Status,Amount
1,75792,Cash,Pending,0
2,57950,UPI,FAILED,0
3,22954,UPI,FAILED,4341
4,79705,UPI,Success,990
5,76171,Card,FAILED,-100
6,5664,UPI,FAILED,866
7,99261,,Success,0
8,9545,Cash,FAILED,-100
9,29772,upi,FAILED,805
10,75134,Cash,Pending,419
11,85145,upi,Pending,3319
12,10196,upi,Pending,0
13,53124,,FAILED,0
14,80548,NetBanking,Pending,0
15,18981,,Pending,2473
16,88551,UPI,FAILED,0
17,4485,Cash,FAILED,4857
18,74275,Cash,FAILED,1386
19,57958,Cash,FAILED,-100
20,641,Card,FAILED,2602
21,77600,Cash,Success,1947
22,2757,UPI,FAILED,2754
23,14655,upi,FAILED,0
24,24844,CARD,FAILED,3486
25,77580,Card,Success,-100
26,68507,UPI,Success,1256
27,67229,UPI,Success,282
28,60831,Cash,FAILED,1003
29,74629,UPI,Success,3681
30,22378,,Success,2663
31,52605,NetBanking,Pending,982
32,94335,Card,Success,4717
33,80204,Card,Success,0
34,12172,CARD,Pending,3050
35,21417,,Success,1927
36,3579,UPI,Success,1428
37,74481,Cash,Success,0
38,59302,Card,FAILED,2175
39,15573,upi,FAILED,0
40,1237,,FAILED,272
41,98932,Card,Success,3576
42,66752,Cash,Pending,388
43,69042,Cash,Success,0
44,16658,,FAILED,2629
45,59893,NetBanking,Pending,3349
46,97126,NetBanking,FAILED,0
47,9794,,Pending,589
48,66451,UPI,Success,4100
49,48324,upi,Pending,-100
50,98211,NetBanking,Success,4874
51,73464,UPI,Success,-100
52,78908,NetBanking,Pending,2542
53,42814,,FAILED,2255
54,4699,Cash,Pending,765
55,99086,NetBanking,Success,3400
56,26718,Card,FAILED,2188
57,99966,,Success,4610
58,39554,upi,FAILED,3378
59,60456,UPI,FAILED,3948
60,74135,Card,FAILED,1280
61,75736,Cash,Success,0
62,33316,Cash,Pending,4320
63,94320,UPI,Success,1932
64,14418,upi,FAILED,575
65,64293,upi,FAILED,1001
66,29035,Cash,FAILED,2952
67,8042,Card,Success,3745
68,32111,CARD,FAILED,-100
69,30920,NetBanking,Success,1835
70,1432,Cash,FAILED,631
71,28520,CARD,FAILED,2228
72,92995,Cash,FAILED,711
73,49636,Card,Success,2386
74,21606,CARD,Pending,0
75,83962,CARD,Pending,0
76,54412,NetBanking,Success,0
77,15881,CARD,Pending,342
78,33274,,Success,-100
79,14221,Card,Success,3017
80,52278,NetBanking,Success,-100
81,65272,Card,Success,0
82,72959,Card,Pending,853
83,94544,Card,Success,2429
84,35375,UPI,FAILED,4940
85,19547,,FAILED,0
86,61002,Cash,FAILED,3471
87,80505,Card,FAILED,2179
88,94371,UPI,Pending,-100
89,70796,Cash,FAILED,1408
90,30617,Cash,Success,4554
91,62934,CARD,Pending,0
92,4444,,FAILED,3625
93,3727,Card,Success,4881
94,85700,NetBanking,FAILED,0
95,27849,upi,FAILED,2673
96,21064,Card,FAILED,1667
97,20454,CARD,Pending,3950
98,41117,Cash,Pending,0
99,55854,NetBanking,Success,4316
100,51241,,Pending,2882
101,27720,,Pending,1065
102,87353,Card,Success,207
103,63826,,Pending,2303
104,71329,Card,Success,716
105,77742,UPI,Pending,3137
106,10657,,FAILED,4060
107,28708,UPI,Success,3925
108,2920,Cash,Success,0
109,74348,Cash,FAILED,3324
110,81498,CARD,FAILED,-100
111,64565,NetBanking,Pending,1305
112,95848,UPI,FAILED,-100
113,10325,Card,Success,4837
114,54555,,Pending,3537
115,12744,UPI,Pending,3005
116,7601,,Success,0
117,19776,UPI,Success,374
118,77631,NetBanking,Success,-100
119,38036,UPI,Success,4924
120,41431,Card,Pending,1063
121,98707,NetBanking,Pending,0
122,59230,,FAILED,855
123,24938,Cash,FAILED,0
124,10260,UPI,FAILED,2896
125,65511,Cash,Success,3573
126,62952,,Success,0
127,37798,Card,FAILED,814
128,73517,Card,Success,0
129,81811,NetBanking,FAILED,0
130,8836,Cash,FAILED,1955
131,33603,UPI,Success,0
132,88531,UPI,Success,4893
133,1440,Card,FAILED,0
134,76118,Card,Success,-100
135,68874,Card,FAILED,574
136,24103,,Success,951
137,47582,UPI,Success,0
138,18205,UPI,FAILED,-100
139,49001,Cash,FAILED,0
140,89094,,FAILED,0
141,25875,CARD,FAILED,3687
142,25481,,Pending,-100
143,3285,,Success,-100
144,21698,,FAILED,-100
145,85497,upi,Pending,4243
146,67020,Cash,FAILED,3066
147,73998,UPI,Pending,310
148,20440,,Success,0
149,28611,CARD,FAILED,-100
150,15399,Card,Pending,584
151,20210,CARD,FAILED,4034
152,62734,upi,Pending,2660
153,84744,Card,Success,4507
154,90779,Card,Success,-100
155,4556,Card,Success,2308
156,9926,,Success,2727
157,97088,Cash,Pending,2189
158,34577,UPI,FAILED,3806
159,54350,CARD,FAILED,3203
160,73885,UPI,Success,-100
161,5646,UPI,Success,0
162,39097,Card,Success,0
163,54201,Card,Success,-100
164,67480,,FAILED,1542
165,40232,upi,FAILED,-100
166,18469,Cash,Success,4564
167,7254,,Pending,0
168,73781,Cash,Success,-100
169,33470,Card,Success,-100
170,76873,UPI,Success,1070
171,51458,UPI,FAILED,0
172,918,UPI,Success,-100
173,17360,,FAILED,2300
174,33281,NetBanking,FAILED,0
175,69682,,FAILED,930
176,25481,UPI,FAILED,0
177,67264,Card,Success,1516
178,51178,Cash,Pending,-100
179,24405,,Success,4649
180,74013,NetBanking,Success,0
181,11796,Card,FAILED,-100
182,11488,Cash,Success,-100
183,70000,UPI,Success,-100
184,37179,Card,Success,-100
185,50750,NetBanking,Success,1695
186,20687,,Success,3176
187,20990,Cash,FAILED,157
188,18556,NetBanking,FAILED,-100
189,76382,,Success,-100
190,10004,Card,Success,0
