Return_ID,Order_ID,Issue_Type,Refund_Amount,Status
1,12404,Missing Item,99999,Processed
2,82376,Damaged,-200,Pending
3,30373,Missing Item,618,Pending
4,84237,Damaged,408,PENDING
5,58488,WRONG,1236,Rejected
6,24694,WRONG,0,Processed
7,79613,Late Delivery,1757,Pending
8,18935,,1677,Processed
9,35846,Damaged,0,Pending
10,40164,WRONG,670,Processed
11,1315,Missing Item,2738,Pending
12,12817,,0,Pending
13,26532,Damaged,0,PENDING
14,39187,,99999,Processed
15,44424,Missing Item,-200,Processed
16,81219,Late Delivery,-200,processed
17,85156,,4420,Pending
18,6639,damaged,0,Rejected
19,90719,,99999,Pending
20,53401,WRONG,848,Pending
21,61797,,0,PENDING
22,54345,Damaged,742,Processed
23,39050,damaged,4531,Processed
24,76608,,-200,Pending
25,8929,WRONG,4620,Rejected
26,49397,Wrong Item,-200,Rejected
27,57600,Late Delivery,933,Processed
28,48090,,3198,Pending
29,7431,,1948,processed
30,58696,Missing Item,3887,PENDING
31,78431,Missing Item,4216,processed
32,26648,,-200,processed
33,48346,,-200,PENDING
34,56184,Missing Item,0,Rejected
35,53690,Damaged,99999,Rejected
36,61546,WRONG,99999,Rejected
37,77817,WRONG,-200,PENDING
38,67892,WRONG,1561,Rejected
39,44696,,4243,Pending
40,52074,damaged,0,processed
41,8612,WRONG,3538,processed
42,40428,Late Delivery,3714,Pending
43,68388,Damaged,1887,processed
44,41991,Late Delivery,4046,Processed
45,39216,Missing Item,0,PENDING
46,50008,,99999,PENDING
47,60940,Missing Item,-200,Pending
48,60127,damaged,99999,PENDING
49,74836,Late Delivery,3159,Rejected
50,51292,Missing Item,2174,Processed
51,59400,Wrong Item,-200,Processed
52,65792,Late Delivery,99999,Rejected
53,93985,Missing Item,4234,Rejected
54,17216,damaged,4410,Rejected
55,69228,Late Delivery,2705,processed
56,71389,Damaged,0,processed
57,45533,Missing Item,99999,Processed
58,75439,WRONG,0,Rejected
59,34697,,1600,Rejected
60,50570,,4315,Processed
61,47270,damaged,-200,processed
62,93514,damaged,0,PENDING
63,1438,WRONG,2909,processed
64,78853,Late Delivery,4118,processed
65,45535,Missing Item,-200,Pending
66,16434,Wrong Item,99999,Processed
67,15942,Wrong Item,-200,Processed
68,85204,Late Delivery,-200,processed
69,27446,Damaged,251,PENDING
70,25647,Late Delivery,99999,Pending
71,51360,Late Delivery,1257,Rejected
72,20871,,-200,Rejected
73,47352,Wrong Item,782,Rejected
74,31149,Missing Item,-200,Processed
75,72420,Damaged,-200,PENDING
76,35559,Damaged,99999,Rejected
77,73518,Late Delivery,99999,Processed
78,26307,Damaged,1847,Rejected
79,37674,WRONG,-200,Pending
80,35102,Damaged,2026,Processed
81,56450,damaged,1987,Pending
82,64287,,3010,processed
83,43710,Wrong Item,99999,processed
84,93390,Wrong Item,2361,Pending
85,25548,Damaged,-200,processed
86,82775,,-200,processed
87,37677,Late Delivery,0,Processed
88,22651,Missing Item,618,PENDING
89,53847,damaged,99999,Processed
90,93140,Wrong Item,1990,processed
91,49167,,469,processed
92,62029,Missing Item,1693,Pending
93,60487,damaged,0,Pending
94,88802,Late Delivery,99999,PENDING
95,2610,Missing Item,0,PENDING
96,57253,WRONG,0,Rejected
97,28405,Wrong Item,4589,PENDING
98,45347,Late Delivery,0,Rejected
99,7733,,99999,Processed
100,18718,Damaged,4955,processed
101,95259,Late Delivery,931,Rejected
102,17897,Late Delivery,2691,processed
103,89023,Missing Item,3651,Pending
104,12223,WRONG,1585,Pending
105,83117,Wrong Item,-200,Rejected
106,23941,,0,Rejected
107,96342,Damaged,1991,processed
108,11408,Late Delivery,0,Rejected
109,80740,Wrong Item,99999,PENDING
110,66396,Late Delivery,-200,processed
111,90081,Missing Item,-200,Pending
112,47000,Late Delivery,99999,Pending
113,34344,,3098,PENDING
114,84932,damaged,1719,processed
115,90495,damaged,2685,processed
116,58351,Damaged,0,Processed
117,74144,Late Delivery,99999,Pending
118,8446,Wrong Item,99999,Processed
119,9324,Late Delivery,0,Processed
120,38005,Late Delivery,1325,Pending
121,55393,damaged,0,PENDING
122,92394,Wrong Item,99999,Pending
123,55446,Missing Item,-200,PENDING
124,10938,,0,PENDING
125,87672,WRONG,-200,PENDING
126,51542,,0,PENDING
127,1813,WRONG,2816,processed
128,50649,damaged,0,Processed
129,86937,Late Delivery,0,processed
130,31910,damaged,0,PENDING
131,44388,Late Delivery,99999,PENDING
132,90623,Missing Item,0,Pending
133,34909,damaged,3833,PENDING
134,56284,Late Delivery,0,Rejected
135,89665,Late Delivery,0,processed
136,25957,damaged,4928,processed
137,51551,WRONG,-200,Processed
138,85340,Late Delivery,-200,PENDING
139,96815,Wrong Item,4936,PENDING
140,386,Late Delivery,-200,Pending
141,32222,,-200,processed
142,7461,Damaged,2592,processed
143,94351,Damaged,3779,processed
144,82229,WRONG,453,Pending
145,22582,Late Delivery,99999,PENDING
146,49008,,1840,processed
147,8681,damaged,99999,Pending
148,42512,Wrong Item,1250,Processed
149,67287,Missing Item,0,PENDING
150,53915,Damaged,1565,Pending
151,35154,WRONG,-200,PENDING
152,69400,Late Delivery,656,Pending
153,8787,Wrong Item,0,processed
154,46166,Wrong Item,99999,Rejected
155,23513,Wrong Item,99999,Rejected
156,10080,damaged,99999,PENDING
157,75610,WRONG,604,Rejected
158,76505,Missing Item,1673,processed
159,8623,Late Delivery,99999,Processed
160,64414,damaged,-200,Processed
161,64824,WRONG,0,Processed
162,26599,,-200,Pending
163,61588,Late Delivery,1408,PENDING
164,44786,Wrong Item,2964,PENDING
165,41545,Wrong Item,0,Processed
166,9402,Late Delivery,-200,Processed
167,19084,damaged,3377,Processed
168,62128,,-200,Processed
169,78905,damaged,1881,Rejected
170,90727,damaged,0,Rejected
171,52577,Late Delivery,3745,Rejected
172,99761,Late Delivery,1283,PENDING
173,7888,damaged,99999,PENDING
174,99374,damaged,4488,Pending
175,71249,Damaged,-200,Rejected
176,7519,damaged,-200,processed
177,27589,Wrong Item,0,processed
178,1134,Damaged,99999,processed
179,53306,Late Delivery,876,Processed
180,42134,Damaged,2497,Rejected
181,71891,Late Delivery,2960,Pending
182,64998,Late Delivery,99999,Processed
183,75623,damaged,99999,processed
184,35198,Wrong Item,1634,Rejected
185,12526,Damaged,0,Processed
186,5934,damaged,99999,Pending
187,87940,Missing Item,0,Pending
188,95360,Damaged,4157,Pending
189,26653,Damaged,-200,Processed
190,70723,Missing Item,-200,processed
191,40893,Damaged,0,PENDING
192,56820,,0,Processed
193,81727,Wrong Item,-200,processed
