Order_ID,Status,Update_Date,Update_Time
46951,Order Placed,2020-05-04,16:40:00
1215,Delayed,2024-08-13,18:01:00
60204,in transit,2025-05-11,02:17:00
42127,Dispatched,2025-05-01,06:48:00
35259,order placed,2025-12-18,02:00:00
81380,In Transit,2021-08-18,01:36:00
80385,DELIVERED,2022-09-01,20:35:00
62223,in transit,2020-04-13,12:43:00
29555,Out for Delivery,2023-01-15,02:49:00
11892,Delivered,2022-08-25,15:18:00
19464,Out for Delivery,2025-10-14,02:46:00
70444,Out for Delivery,2021-02-02,21:32:00
11941,Delayed,2023-09-09,10:44:00
97077,in transit,2023-07-28,21:54:00
66432,In Transit,2022-11-29,17:35:00
87881,Out for Delivery,2021-04-12,08:06:00
77102,In Transit,2023-05-12,06:05:00
67538,In Transit,2022-01-04,13:10:00
66701,Delayed,2024-10-25,17:06:00
99154,order placed,2022-12-13,02:45:00
19315,In Transit,2021-07-30,21:47:00
17005,Delayed,2021-09-30,16:48:00
83795,order placed,2023-08-24,17:59:00
90953,Out for Delivery,2025-08-22,17:32:00
85759,Delayed,2022-10-16,08:55:00
30647,Delivered,2023-02-20,07:42:00
10513,Order Placed,2024-04-03,03:52:00
86385,Dispatched,2024-09-06,23:36:00
24238,Out for Delivery,2024-06-24,09:13:00
26979,Out for Delivery,2022-07-10,21:18:00
60417,DELIVERED,2025-04-04,04:10:00
28209,Delayed,2024-12-09,14:03:00
62834,Delayed,2020-04-25,18:41:00
8321,Delayed,2024-12-29,03:35:00
64809,in transit,2025-02-01,06:59:00
26890,Out for Delivery,2020-11-07,18:01:00
78394,in transit,2024-08-27,15:22:00
65926,Delayed,2025-10-07,20:30:00
63689,In Transit,2024-03-08,08:41:00
31245,Out for Delivery,2020-06-26,20:27:00
66535,In Transit,2025-03-05,10:20:00
70563,DELIVERED,2025-04-06,19:20:00
31069,Dispatched,2023-02-16,12:06:00
81948,Delayed,2022-09-20,13:39:00
36066,DELIVERED,2021-08-31,12:19:00
85139,Out for Delivery,2021-04-08,16:44:00
9714,Order Placed,2021-02-26,08:14:00
64033,Out for Delivery,2024-08-24,13:17:00
80480,Out for Delivery,2022-06-04,19:22:00
86016,order placed,2024-12-12,03:52:00
89154,order placed,2024-06-13,11:37:00
1591,Out for Delivery,2024-02-09,06:36:00
98771,Delivered,2020-04-11,19:43:00
74307,order placed,2020-04-26,06:52:00
1043,Order Placed,2020-12-18,07:19:00
84818,order placed,2022-05-26,14:50:00
4337,order placed,2020-01-11,00:22:00
30451,in transit,2020-11-29,00:13:00
17483,in transit,2024-07-13,01:31:00
97723,Out for Delivery,2024-12-12,07:42:00
46294,in transit,2020-03-20,14:41:00
75631,order placed,2021-08-27,16:28:00
23730,Delivered,2022-08-10,12:39:00
55759,in transit,2020-12-31,13:49:00
36902,Delivered,2022-09-04,15:08:00
60509,Order Placed,2020-07-29,16:39:00
74354,Dispatched,2022-01-17,03:39:00
89982,order placed,2023-05-20,01:39:00
28400,Order Placed,2024-10-28,17:15:00
51781,In Transit,2022-11-02,04:06:00
43839,Delivered,2023-03-19,01:48:00
55709,order placed,2020-02-01,15:04:00
62231,order placed,2023-06-07,04:21:00
42306,In Transit,2020-04-19,02:07:00
62410,order placed,2022-07-02,06:07:00
6936,In Transit,2022-01-15,21:52:00
42424,in transit,2021-11-23,03:22:00
47833,Delivered,2022-01-25,19:56:00
78819,Order Placed,2025-07-10,00:26:00
61843,Delivered,2023-03-24,10:10:00
89603,In Transit,2021-05-01,12:52:00
98887,DELIVERED,2020-02-02,18:24:00
16833,Dispatched,2024-06-06,19:16:00
94008,DELIVERED,2024-04-02,04:59:00
51921,DELIVERED,2022-10-04,08:10:00
44587,Delivered,2025-01-18,06:37:00
78123,Delayed,2022-05-16,04:58:00
42070,In Transit,2024-04-24,00:37:00
79716,DELIVERED,2020-01-23,08:06:00
68217,In Transit,2024-09-08,22:37:00
42547,Delivered,2024-09-06,08:17:00
59154,order placed,2024-09-09,02:11:00
61196,Delayed,2021-07-31,14:57:00
76878,Dispatched,2020-09-30,06:37:00
89820,Delayed,2022-03-27,10:18:00
85840,Delayed,2022-02-27,09:44:00
12885,DELIVERED,2025-05-13,13:35:00
16746,Order Placed,2025-12-25,19:13:00
74470,Dispatched,2022-03-20,20:48:00
97758,Out for Delivery,2024-03-24,11:36:00
92524,order placed,2021-05-02,10:50:00
12980,order placed,2023-06-25,05:36:00
70506,Dispatched,2025-11-22,22:38:00
89730,order placed,2023-11-08,00:09:00
22454,Delayed,2023-04-01,18:50:00
95456,DELIVERED,2020-02-10,21:51:00
83713,Delivered,2025-02-07,11:48:00
